Numero,Hora,IP Origen,IP Destino,Protocolo,TTL,Largo(bytes),MAC Origen,MAC Destino,Puerto Origen,Puerto Destino
1310,08:43:26.551,10.13.149.142,100.23.10.60,TCP,128,146,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1311,08:43:26.551,10.13.149.142,100.23.10.60,TCP,128,79,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1312,08:43:26.551,10.13.149.142,100.23.10.60,TCP,128,491,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1320,08:43:26.555,10.13.149.142,100.23.10.60,TCP,128,40,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1321,08:43:26.555,10.13.149.142,100.23.10.60,TCP,128,75,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1490,08:43:55.889,10.13.149.142,100.23.10.60,TCP,128,146,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1491,08:43:55.889,10.13.149.142,100.23.10.60,TCP,128,79,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1492,08:43:55.889,10.13.149.142,100.23.10.60,TCP,128,491,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1500,08:43:56.891,10.13.149.142,100.23.10.60,TCP,128,40,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1503,08:43:56.892,10.13.149.142,100.23.10.60,TCP,128,40,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1504,08:43:56.892,10.13.149.142,100.23.10.60,TCP,128,75,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1826,08:44:26.424,10.13.149.142,100.23.10.60,TCP,128,146,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1827,08:44:26.424,10.13.149.142,100.23.10.60,TCP,128,79,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1828,08:44:26.425,10.13.149.142,100.23.10.60,TCP,128,491,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1836,08:44:26.427,10.13.149.142,100.23.10.60,TCP,128,40,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
1837,08:44:26.428,10.13.149.142,100.23.10.60,TCP,128,75,D0:12:55:62:CF:C2,04:D5:90:0A:18:4C,57956,443
